pair_idx	answer_text	answer_text_idx	date	gender	match_id	opponent	player	question_text	question_text_idx	ranking	result	stage	tournament	tournament_type
1681_0	Yeah.	1681_0.a	2008-08-28	M	1681	nan	Kei Nishikori	I think this is your biggest success right now, first Grand Slam, third round.	1681_0.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_1	Yeah, I'm pretty happy, but it was -- I wasn't playing well today, but he retired, and I was just lucky, guess.	1681_1.a	2008-08-28	M	1681	nan	Kei Nishikori	How would you describe it? Is it fantastic for you?	1681_1.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_2	No, no. I didn't know, no.	1681_2.a	2008-08-28	M	1681	nan	Kei Nishikori	Do you know why he has retired?	1681_2.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_3	Um, because there is more players, top players. Many pros are practicing there, and many coach.	1681_3.a	2008-08-28	M	1681	nan	Kei Nishikori	Could you tell us a little bit yourself? You practiced at the Bollettieri Academy. Why did you choose that academy?	1681_3.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_4	Oh, because the one, the guy helps me, his name is Mr. Morita. He send me there, yeah.	1681_4.a	2008-08-28	M	1681	nan	Kei Nishikori	But you could choose, also, another one. Why did you choose Bollettieri?	1681_4.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_5	When I was 13, so almost five years now.	1681_5.a	2008-08-28	M	1681	nan	Kei Nishikori	How old have you been when you went...	1681_5.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_6	What do you mean, contract?	1681_6.a	2008-08-28	M	1681	nan	Kei Nishikori	Okay. And how is the contact with Mr. Bollettieri at the moment, for example?	1681_6.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_7	Yeah.	1681_7.a	2008-08-28	M	1681	nan	Kei Nishikori	Contact with him. I mean, do you speak with him after such a big victory, for example?	1681_7.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_8	Congrats. I haven't talked to him yet, so... Yeah.	1681_8.a	2008-08-28	M	1681	nan	Kei Nishikori	What does he say?	1681_8.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_9	I don't know why he retired, still. But he wasn't moving well. Seemed his legs, I guess.	1681_9.a	2008-08-28	M	1681	nan	Kei Nishikori	Did you get any sort of sense of why he retired? Did he seem to have an injury, or do you know what was in his mind?	1681_9.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_10	I tried to go to the net more often, because he was using slice a lot. I tried to make more first serve. He get more pressure when I hit, when I make first serve. Yeah, tried to go aggressive.	1681_10.a	2008-08-28	M	1681	nan	Kei Nishikori	Can you just talk about your match today, how you played.	1681_10.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_11	Twice a year.	1681_11.a	2008-08-28	M	1681	nan	Kei Nishikori	How much time do you spend in Japan in a year, for example? Are you just staying in the States, or are you sometimes in Japan?	1681_11.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_12	One tournament, and two, three weeks of vacation in November or December.	1681_12.a	2008-08-28	M	1681	nan	Kei Nishikori	And just for a week or...	1681_12.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_13	Yeah, but they come to tournament sometimes. Like here, they're here now, too. They came Wimbledon.	1681_13.a	2008-08-28	M	1681	nan	Kei Nishikori	And your parents, they still live in Japan?	1681_13.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_14	Yeah, but many friends went with me, Japanese guy. So I wasn't -- I wasn't like homesick. But now sometimes I get homesick.	1681_14.a	2008-08-28	M	1681	nan	Kei Nishikori	How hard was it for you when, 13 years, left your parents, left Japan to go to the States. Was it a big step for you?	1681_14.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_15	Yeah. Two guys and one coach, as well.	1681_15.a	2008-08-28	M	1681	nan	Kei Nishikori	Other players from Japan went with you to the States?	1681_15.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_16	They're in college in Japan.	1681_16.a	2008-08-28	M	1681	nan	Kei Nishikori	Where are they now? Are they still...	1681_16.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_17	College.	1681_17.a	2008-08-28	M	1681	nan	Kei Nishikori	Japan?	1681_17.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
1681_18	Yeah.	1681_18.a	2008-08-28	M	1681	nan	Kei Nishikori	So you're the only one that stayed?	1681_18.q	126.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_0	I doubt that. I mean, he's quite young and he still have future in front. It was good for him beating Ljubicic here. I was a bit more lucky to pull it out.	2886_0.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	There were some unhappy people at the USTA office. You broke their hearts here.	2886_0.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_1	You mean when I'm 6-3?	2886_1.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	You aced him two straight. Did you feel that that was the breaker at that point, that he didn't return your serve at the end?	2886_1.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_2	No. Facing three match points down, I mean, not much can be done. I mean, if I put two aces, he put one more ace on his serve and it's gone.	2886_2.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	Exactly, 6-3.	2886_2.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_3	No. It was nothing like that. I mean, he played that tiebreak very well, and he didn't really seem that he's gonna choke or in some way he's gonna underestimate it. So he was playing really well. The mistake he done was actually unexpected from me.	2886_3.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	When you returned it, did you say, Hey, I put this one in play; he's gonna probably crack it?	2886_3.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_4	It was nice, I mean, except that 99.9% of the people were against me. But yes. (Laughter.)	2886_4.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	What was the overall atmosphere like out there?	2886_4.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_5	Well, I mean, I've played Davis Cup, so I quite know the atmosphere is going around. So there's nothing can be done about it. I mean, people supporting one person, you just can't tell them, Guys, cheer for me. But I'm glad that they did really appreciate some nice points we played. They really clapped for both sides more or less, so it was fair.	2886_5.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	That's gotta be a learning experience.	2886_5.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_6	Well, actually the longer rain delay wasn't any good for me because I felt more stiff when I got back on the court. I was a bit, I would say, dead. (Laughter.) So it was really hard time for me to get back into the rhythm, and he used it. I've done some big mistakes on my serve and he broke me. He just took his chance.	2886_6.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	How did the rain delay affect you? You came out and held your serve, but then obviously he came back.	2886_6.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
2886_7	Yeah, but, I mean, that was bad. I mean, I hit it hard. I just missed -- completely missreturned [sic], and I hit it hard. I saw the guy just fell off the chair there. I felt sorry for him.	2886_7.a	2010-09-03	M	2886	Ryan Harrison	Sergiy Stakhovsky	The crowd did cheer for you when you shook the cameraman's hand.	2886_7.q	36.0	1	2nd Round	U.S. OPEN	Grand Slam
